Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
AK3P4			100129959
AK3P5			100288319
AK3P6		NG_032224	100873789
AK4	AK3, AK3L1	NM_013410	205
AK4P1	AK3P1	NG_001070	206
AK4P2			100132104
AK4P3	AK3L2	NG_007564	645619
AK4P4		NG_021605	100128705
AK4P5		NG_027847	100526416
AK4P6		NG_022085	649288
AK5		NM_174858	26289
AK6		NM_016283	102157402
AK6			
AK6P1			100132086
AK6P2			100128817
AK7			122481
AK8	C9orf98	NM_152572	158067
AK9	C6orf224, AKD2, C6orf199, AKD1	NM_001145128	221264
AKAIN1	C18orf42	NM_001145194	642597
AKAP1	PRKA1		8165
AKAP2	PRKA2	NM_001004065	
AKAP3		NM_006422	10566
AKAP4		NM_003886	8852
AKAP5			9495
AKAP6		NM_004274	9472
AKAP7		NM_004842	9465
AKAP8		NM_005858	10270
AKAP8L		NM_014371	26993
AKAP8P1		NG_021607	646114
AKAP9		NM_005751	10142
AKAP10		NM_007202	11216
AKAP11		NM_016248	11215
AKAP11-IT1			
AKAP12			9590
AKAP13	LBC	NM_007200	11214
AKAP14		NM_178813	158798
AKAP17A	CXYorf3, SFRS17A	NM_005088	8227
AKAP17BP	AKAP16B, AKAP16BP	NG_022632	139516
AKD2	C6orf199		
AKIP1	C11orf17	NM_020642	56672
AKIRIN1	C1orf108	NM_024595	79647
AKIRIN1P1			100418731
AKIRIN1P2			106480306
AKIRIN2	C6orf166	NM_018064	55122
AKIRIN2-AS1	NCRNA00120		
AKIRIN2P1			100216487
AKNA		NM_030767	80709
AKNAD1	C1orf62	NM_152763	254268
AKR1A1		NM_006066	10327
AKR1B1	ALDR1	NM_001628	231
AKR1B1P1	ALDRL1	NG_006432	401982
AKR1B1P2	ALDRP		236
AKR1B1P3	ALDRL3	NG_007132	729347
AKR1B1P4	ALDRL4	NG_006989	390402
AKR1B1P5	AKR1B1P	NG_007013	390482
AKR1B1P6			100129769
AKR1B1P7		NG_009664	126242
AKR1B1P8		NG_009682	392525
AKR1B10	AKR1B11	NM_020299	57016
AKR1B10P1		NG_022180	340888
AKR1B10P2		NG_022495	643582
AKR1B11			
AKR1B15			441282
AKR1C1	DDH1	NM_001353	1645
AKR1C2	DDH2, TDD	NM_001354	1646
AKR1C3	HSD17B5	NM_003739	8644
AKR1C4	CHDR	NM_001818	1109
AKR1C5P			100996684
AKR1C6P		NR_026743	389932
AKR1C7P		NG_023403	648947
